"PriceList","CAT","SEL","Description","ItemId"
"CODE8X_AUG26_182319065en-US","ACC","ANCR","Anchor - twist in ground type","11202"
"CODE8X_AUG26_182319065en-US","ACC","ANCR+","Anchor - two crossed rods driven into the ground","11202"
"CODE8X_AUG26_182319065en-US","ACC","BAXL","Axle - electric brake (with springs)","11203"
"CODE8X_AUG26_182319065en-US","ACC","BIDITM","Accessories - Mobile Home (Bid Item)","10810"
"CODE8X_AUG26_182319065en-US","ACC","DAXL","Axle - drag (with springs) - no brakes","11203"
"CODE8X_AUG26_182319065en-US","ACC","DAXL-","Axle hubs - brake type","11203"
"CODE8X_AUG26_182319065en-US","ACC","EQL","Equalizers","11204"
"CODE8X_AUG26_182319065en-US","ACC","HTCH","Hitch - ""A"" frame style with coupler","11205"
"CODE8X_AUG26_182319065en-US","ACC","HUBS","Axle hubs - drag type","11203"
"CODE8X_AUG26_182319065en-US","ACC","IBEAM","I beam repair","11206"
"CODE8X_AUG26_182319065en-US","ACC","LAB","Mobile Home Repair - per hour","10670"
"CODE8X_AUG26_182319065en-US","ACC","LABL","Mobile Home - General Laborer - per hour","10670"
"CODE8X_AUG26_182319065en-US","ACC","MN","Mobile Home Accessory - Labor Minimum","10671"
"CODE8X_AUG26_182319065en-US","ACC","OTRG","Outrigger - up to 30"" long","11207"
"CODE8X_AUG26_182319065en-US","ACC","PDB","Accessories - Mobile Home (Paid Bill)","10810"
"CODE8X_AUG26_182319065en-US","ACC","RIM","Rim - doughnut type with no center","11208"
"CODE8X_AUG26_182319065en-US","ACC","SPNG","Spring - mono or single leaf only","11210"
"CODE8X_AUG26_182319065en-US","ACC","TIRE","Tire - 7 x 14.5 or 8 x 14.5 mounted","11208"
"CODE8X_AUG26_182319065en-US","ACC","TIRE+","Tire and rim/wheel - 7 x 14.5 or 8 x 14.5","11208"
"CODE8X_AUG26_182319065en-US","ACC","TNGJK","Tongue jack","11209"
"CODE8X_AUG26_182319065en-US","ACT","AGP","Acoustical Treatments (Agreed Price)","10810"
"CODE8X_AUG26_182319065en-US","ACT","AV","Acoustic ceiling tile","571"
"CODE8X_AUG26_182319065en-US","ACT","AV+","Acoustic ceiling tile - High grade","571"
"CODE8X_AUG26_182319065en-US","ACT","AV++","Acoustic ceiling tile - Premium grade","571"
"CODE8X_AUG26_182319065en-US","ACT","AVARMV","Tear off asbestos acoustic ceiling tile (no haul off)","571"
"CODE8X_AUG26_182319065en-US","ACT","AVM","Ceiling panel - w/battens & staples- mobile home","1586"
"CODE8X_AUG26_182319065en-US","ACT","AVM+","Ceiling panel -High grade w/battens & staples- mobile home","1586"
"CODE8X_AUG26_182319065en-US","ACT","AVM++","Ceiling panel -glued w/no battens & staples- mobile home","1586"
"CODE8X_AUG26_182319065en-US","ACT","BALL++","Special - ballroom ceiling panels - Premium grade","571"
"CODE8X_AUG26_182319065en-US","ACT","BIDITM","Acoustical Treatments (Bid Item)","10810"
"CODE8X_AUG26_182319065en-US","ACT","BTN","Batten for ceiling panel - mobile home","11364"
"CODE8X_AUG26_182319065en-US","ACT","DRAPE","Acoustical wall treatment - cloth - theater sound","10000"
"CODE8X_AUG26_182319065en-US","ACT","FUR","Acoustic ceiling tile furring","571"
"CODE8X_AUG26_182319065en-US","ACT","LAB","Acoustical Treatments Installer - per hour","11199"
"CODE8X_AUG26_182319065en-US","ACT","LABL","Acoustical Treatments - General Laborer - per hour","11199"
