source_line_id,source_page,source_group,source_description,source_quantity,source_unit,reference_found,reference_group,reference_item_number,reference_cat,reference_sel,reference_activity,reference_description,reference_quantity,reference_unit,reference_coverage,reference_rcv,match_confidence,mapping_notes,last_claimxtract_candidate,last_claimxtract_decision,last_claimxtract_commit_state,last_claimxtract_failure_reason
task_line_0001,7,Exterior,"R&R Gutter - aluminum - up to 5""",200.0,LF,True,Exterior,53,SFG,GUTA,&,"Gutter - aluminum - up to 5""",200,LF,Dwelling,2045.65,EXACT,,SFG/GUTA,completed,committed,
task_line_0002,7,Exterior,R&R Gutter splash guard,1.0,EA,True,Exterior,54,SFG,GSG,&,Gutter splash guard,1,EA,Dwelling,28.34,EXACT,,SFG/GSG,completed,committed,
task_line_0003,7,Dwelling Roof,"Tear off, haul and dispose of comp. shingles - Laminated",33.66,SQ,False,,,,,,,,,,,NOT_FOUND,No distinct reference line -- tear-off cost appears bundled into RFG/300S's (#7) R&R unit price alongside task_line_0004. Not 1:1.,RFC/ARMV>,review_required,committed,
task_line_0004,7,Dwelling Roof,Laminated - comp. shingle rfg. - w/out felt,35.33,SQ,True,Dwelling Roof,7,RFG,300S,+,Laminated - comp. shingle rfg. - w/out felt,35.33,SQ,Dwelling,10560.96,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0005,7,Dwelling Roof,Roofing felt - 15 lb.,33.66,SQ,False,,,,,,,,,,,NOT_FOUND,No distinct 'Roofing felt' reference line found in Dwelling Roof -- likely bundled into RFG/300S's R&R price (many shingle systems include felt in the install unit price).,RFC/FELT15,review_required,committed,
task_line_0006,7,Dwelling Roof,R&R Gable cornice return - laminated,4.0,EA,True,Dwelling Roof,9,RFG,GCR300,&,Gable cornice return - laminated,4,EA,Dwelling,454.57,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0007,8,Dwelling Roof,Hip / Ridge cap - Standard profile - composition shingles,143.0,LF,True,Dwelling Roof,10,RFG,RIDGCS,&,Hip / Ridge cap - Standard profile - composition shingles,143,LF,Dwelling,1489.33,EXACT,,,review_required,not_committed,"Top candidate lacks a clear margin, sufficient score, or reliable extraction confidence."
task_line_0008,8,Dwelling Roof,Asphalt starter - universal starter course,244.0,LF,True,Dwelling Roof,11,RFG,ASTR-,+,Asphalt starter - universal starter course,244,LF,Dwelling,519.6,EXACT,,RFC/ASTR-,review_required,committed,
task_line_0009,8,Dwelling Roof,Drip edge,244.0,LF,True,Dwelling Roof,12,RFG,DRIP,&,Drip edge,244,LF,Dwelling,902.15,EXACT,,RFC/DRIP,review_required,committed,
task_line_0010,8,Dwelling Roof,Roof vent - turtle type - Plastic,1.0,EA,True,Dwelling Roof,13,RFG,VENTT-,&,Roof vent - turtle type - Plastic,1,EA,Dwelling,79.81,EXACT,,RFC/VENTT-,review_required,committed,
